arm,persona,session_num,helpfulness,personalization_hit,turns_per_session,correction_rate,satisfaction_score,frustration_rate,conciseness,task_completed,response_accepted,format_match,session_id
adaptive,sofia,s01,3.32,0.58,19,0.0,,,,,,,
adaptive,sofia,s02,2.73,0.77,22,0.136,,,,,,,
adaptive,sofia,s03,1.88,0.64,33,0.303,,,,,,,
adaptive,sofia,s04,2.73,0.82,22,0.091,,,,,,,
adaptive,sofia,s05,3.45,1.0,22,0.091,,,,,,,
adaptive,sofia,s06,3.08,0.84,25,0.04,,,,,,,
adaptive,sofia,s07,3.4,1.0,15,0.0,,,,,,,
adaptive,sofia,s08,3.52,1.0,33,0.03,,,,,,,
adaptive,sofia,s09,2.57,0.6,30,0.1,,,,,,,
adaptive,sofia,s10,3.05,1.0,19,0.0,,,,,,,
baseline,sofia,s01,2.93,0.79,14,0.143,,,,,,,
baseline,sofia,s02,3.33,0.93,27,0.037,,,,,,,
baseline,sofia,s03,2.87,0.8,15,0.2,,,,,,,
baseline,sofia,s04,2.83,0.83,29,0.069,,,,,,,
baseline,sofia,s05,2.86,1.0,14,0.143,,,,,,,
baseline,sofia,s06,3.78,1.0,18,0.0,,,,,,,
baseline,sofia,s07,3.0,0.9,21,0.143,,,,,,,
baseline,sofia,s08,3.27,1.0,30,0.033,,,,,,,
baseline,sofia,s09,3.33,0.86,21,0.048,,,,,,,
baseline,sofia,s10,2.82,0.91,34,0.029,,,,,,,
adaptive,marcus,s01,3.63,0.0,16,0.0,,,,,,,
adaptive,marcus,s02,3.58,0.0,31,0.0,,,,,,,
adaptive,marcus,s03,3.44,0.0,16,0.125,,,,,,,
adaptive,marcus,s04,2.76,0.33,21,0.0,,,,,,,
adaptive,marcus,s05,4.17,0.5,12,0.0,,,,,,,
adaptive,marcus,s06,4.07,0.33,15,0.0,,,,,,,
adaptive,marcus,s07,3.76,0.08,37,0.027,,,,,,,
adaptive,marcus,s08,2.92,0.54,24,0.0,,,,,,,
adaptive,marcus,s09,3.56,0.19,16,0.0,,,,,,,
adaptive,marcus,s10,3.67,0.67,15,0.0,,,,,,,
baseline,marcus,s01,3.41,0.44,27,0.0,,,,,,,
baseline,marcus,s02,2.4,0.1,30,0.133,,,,,,,
baseline,marcus,s03,3.5,0.33,18,0.056,,,,,,,
baseline,marcus,s04,3.36,0.18,22,0.045,,,,,,,
baseline,marcus,s05,3.5,0.43,14,0.071,,,,,,,
baseline,marcus,s06,3.48,0.07,27,0.0,,,,,,,
baseline,marcus,s07,3.67,0.24,33,0.0,,,,,,,
baseline,marcus,s08,2.61,0.0,18,0.056,,,,,,,
baseline,marcus,s09,3.72,0.16,25,0.28,,,,,,,
baseline,marcus,s10,2.78,0.22,9,0.0,,,,,,,
adaptive,aisha,s01,3.333333333333333,0.0,33,0.0909090909090909,,,,,,,
adaptive,aisha,s02,3.555555555555556,0.0833333333333333,36,0.0,,,,,,,
adaptive,aisha,s03,3.75,0.0277777777777777,36,0.0277777777777777,,,,,,,
adaptive,aisha,s04,3.235294117647059,0.2647058823529412,34,0.0,,,,,,,
adaptive,aisha,s05,3.305555555555556,0.1666666666666666,36,0.0,,,,,,,
adaptive,aisha,s06,2.7142857142857144,0.3571428571428571,28,0.1071428571428571,,,,,,,
adaptive,aisha,s07,2.6842105263157894,0.2894736842105263,38,0.1578947368421052,,,,,,,
adaptive,aisha,s08,3.6206896551724137,0.0689655172413793,29,0.0344827586206896,,,,,,,
adaptive,aisha,s09,2.3714285714285714,0.7428571428571429,35,0.1142857142857142,,,,,,,
adaptive,aisha,s10,3.090909090909091,0.3939393939393939,33,0.0606060606060606,,,,,,,
baseline,aisha,s01,3.25,0.0416666666666666,24,0.2083333333333333,,,,,,,
baseline,aisha,s02,3.5277777777777777,0.0,36,0.0833333333333333,,,,,,,
baseline,aisha,s03,3.6857142857142855,0.1142857142857142,35,0.0285714285714285,,,,,,,
baseline,aisha,s04,3.0,0.0,22,0.0,,,,,,,
baseline,aisha,s05,3.333333333333333,0.1111111111111111,36,0.0277777777777777,,,,,,,
baseline,aisha,s06,2.290322580645161,0.0,31,0.2903225806451613,,,,,,,
baseline,aisha,s07,3.7222222222222223,0.1111111111111111,36,0.0,,,,,,,
baseline,aisha,s08,3.638888888888889,0.0555555555555555,36,0.0,,,,,,,
baseline,aisha,s09,3.555555555555556,0.0833333333333333,36,0.0277777777777777,,,,,,,
baseline,aisha,s10,3.147058823529412,0.1470588235294117,34,0.0,,,,,,,
adaptive,olena,s01,3.6666666666666665,0.1333333333333333,15,0.0,,,,,,,
adaptive,olena,s02,3.0303030303030303,0.0303030303030303,33,0.2727272727272727,,,,,,,
adaptive,olena,s03,3.433333333333333,0.1,30,0.0333333333333333,,,,,,,
adaptive,olena,s04,3.147058823529412,0.0,34,0.1470588235294117,,,,,,,
adaptive,olena,s05,3.259259259259259,0.1481481481481481,27,0.0,,,,,,,
adaptive,olena,s06,3.27027027027027,0.0,37,0.0,,,,,,,
adaptive,olena,s07,3.294117647058824,0.0,34,0.0,,,,,,,
adaptive,olena,s08,2.894736842105264,0.0526315789473684,19,0.0526315789473684,,,,,,,
adaptive,olena,s09,3.358974358974359,0.1282051282051282,39,0.1025641025641025,,,,,,,
adaptive,olena,s10,3.257142857142857,0.3428571428571428,35,0.0857142857142857,,,,,,,
baseline,olena,s01,3.2222222222222223,0.0,18,0.0,,,,,,,
baseline,olena,s02,4.428571428571429,0.3809523809523809,21,0.0,,,,,,,
baseline,olena,s03,3.1666666666666665,0.0416666666666666,24,0.125,,,,,,,
baseline,olena,s04,2.5,0.0,24,0.0416666666666666,,,,,,,
baseline,olena,s05,3.6666666666666665,0.0476190476190476,21,0.0,,,,,,,
baseline,olena,s06,2.6944444444444446,0.0277777777777777,36,0.25,,,,,,,
baseline,olena,s07,3.3,0.0,30,0.0333333333333333,,,,,,,
baseline,olena,s08,3.1904761904761907,0.3809523809523809,21,0.0,,,,,,,
baseline,olena,s09,2.9444444444444446,0.3055555555555556,36,0.0833333333333333,,,,,,,
baseline,olena,s10,2.3076923076923075,0.0,13,0.0769230769230769,,,,,,,
continuation,marcus,s01,3.8125,0.5,16,0.0625,0.59375,0.0,3.9375,0.375,0.8125,0.6875,agent:main:exp-marcus-cont-s01_signups_dropped-484ba21e
continuation,marcus,s02,3.066666666666667,0.7333333333333333,15,0.1333333333333333,0.5,0.0,2.8666666666666667,0.2,0.5333333333333333,0.5333333333333333,agent:main:exp-marcus-cont-s02_welcome_emails-180ba438
continuation,marcus,s03,2.263157894736842,0.2631578947368421,19,0.1578947368421052,0.5263157894736842,0.0,3.5789473684210527,0.0526315789473684,0.2105263157894736,0.5263157894736842,agent:main:exp-marcus-cont-s03_aws_bill-0032b7f7
continuation,marcus,s04,3.0,0.1851851851851851,27,0.074074074074074,0.5185185185185185,0.0,3.6296296296296298,0.1481481481481481,0.5925925925925926,0.5925925925925926,agent:main:exp-marcus-cont-s04_launch_image-51468e5b
continuation,marcus,s05,3.32,1.0,25,0.04,0.52,0.0,3.72,0.0,0.76,0.76,agent:main:exp-marcus-cont-s05_investor_update-7f59752e
continuation,marcus,s06,3.0,0.5,34,0.088235294117647,0.4852941176470588,0.0294117647058823,2.911764705882353,0.3235294117647059,0.4411764705882353,0.4411764705882353,agent:main:exp-marcus-cont-s06_status_page-ee74a75a
continuation,marcus,s07,3.741935483870968,0.8064516129032258,31,0.0,0.5483870967741935,0.0,3.741935483870968,0.4193548387096774,0.7096774193548387,0.6129032258064516,agent:main:exp-marcus-cont-s07_test_accounts-1bdfc9c5
continuation,marcus,s08,4.384615384615385,0.6923076923076923,13,0.0,0.6923076923076923,0.0,4.230769230769231,0.3846153846153846,1.0,1.0,agent:main:exp-marcus-cont-s08_stripe_failures-f2caadab
continuation,marcus,s09,3.2857142857142856,0.4285714285714285,28,0.1071428571428571,0.5357142857142857,0.0357142857142857,4.0,0.2142857142857142,0.6428571428571429,0.6428571428571429,agent:main:exp-marcus-cont-s09_ga4_goals-dedeaff4
continuation,marcus,s10,3.1052631578947367,0.3684210526315789,19,0.0,0.5789473684210527,0.0,3.684210526315789,0.1578947368421052,0.5789473684210527,0.5789473684210527,agent:main:exp-marcus-cont-s10_holdout_board_meeting-035a1130
